pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA_x,HODESH_TEUNA_x,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,MISPAR_REHEV_fikt,ZEHUT_fikt,SHNAT_TEUNA_y,HODESH_TEUNA_y,SUG_MEORAV,SHNAT_HOZAA,KVUZA_GIL,MIN,SUG_REHEV_NASA_LMS,EMZAE_BETIHUT,SEMEL_YISHUV_MEGURIM,HUMRAT_PGIA,SUG_NIFGA_LMS,PEULAT_NIFGA_LMS,KVUTZAT_OHLUSIYA_LMS,MAHOZ_MEGURIM,NAFA_MEGURIM,EZOR_TIVI_MEGURIM,MAAMAD_MINIZIPALI_MEGURIM,ZURAT_ISHUV_MEGURIM,SUG_TIK,ShimushBeAvizareyBetihut_LMS,PtiraMeuheret_LMS
2023000040,1,1,1,6200,312,221,,7810031,,,,,20,2023,1,29,40,4,1,1,1,3,2,8,0,3,1,1,3,3,1,2,1,1,9,9,9,0,0,9,5,51,513,0,14,1,175748,657646,1,1,2023,1,1,2017,10,2,1,1,6200,0,0,8,1,5,51,513,0,14,1,,
2023000040,1,1,1,6200,312,221,,7810031,,,,,20,2023,1,29,40,4,1,1,1,3,2,8,0,3,1,1,3,3,1,2,1,1,9,9,9,0,0,9,5,51,513,0,14,1,175748,657646,2,2,2023,1,2,2017,7,1,10,2,6600,3,4,1,3,5,51,513,0,14,1,,
2023000059,1,1,1,7600,505,205,,7620005,,,,,12,2023,3,9,54,4,1,5,0,3,1,8,1,0,1,1,2,3,1,1,1,1,9,9,9,3,3,1,2,24,246,0,15,1,207762,759167,0,2,2023,3,3,0,13,1,,5,9100,3,1,9,1,2,24,245,0,15,1,1,
2023000059,1,1,1,7600,505,205,,7620005,,,,,12,2023,3,9,54,4,1,5,0,3,1,8,1,0,1,1,2,3,1,1,1,1,9,9,9,3,3,1,2,24,246,0,15,1,207762,759167,1,1,2023,3,1,2000,9,1,11,1,944,0,0,8,2,2,23,237,99,28,1,,
2023000073,1,1,1,6100,825,856,,9520041,,,,,20,2023,5,1,74,4,1,2,0,3,1,8,1,0,1,1,2,3,1,1,1,1,9,9,9,4,3,9,5,51,512,0,13,1,185084,665378,0,2,2023,5,3,0,99,0,,5,0,3,1,9,1,,99,,,,1,,
2023000073,1,1,1,6100,825,856,,9520041,,,,,20,2023,5,1,74,4,1,2,0,3,1,8,1,0,1,1,2,3,1,1,1,1,9,9,9,4,3,9,5,51,512,0,13,1,185084,665378,1,1,2023,5,1,2022,5,1,12,5,6100,0,0,8,1,5,51,512,0,13,1,,
2023000076,1,1,1,70,715,704,,8730052,,,,,38,2023,9,18,54,4,1,2,0,3,2,8,3,0,1,1,3,3,1,6,1,1,9,9,9,0,0,9,6,61,613,0,13,1,166862,632180,1,1,2023,9,2,2020,8,2,1,1,70,3,2,1,3,6,61,613,0,13,1,,
2023000076,1,1,1,70,715,704,,8730052,,,,,38,2023,9,18,54,4,1,2,0,3,2,8,3,0,1,1,3,3,1,6,1,1,9,9,9,0,0,9,6,61,613,0,13,1,166862,632180,2,2,2023,9,2,2017,5,2,1,1,70,3,2,1,1,6,61,613,0,13,1,,
2023000118,1,1,1,2600,372,384,,8080004,,,,,33,2023,9,3,35,4,1,1,0,3,2,8,3,0,1,1,5,4,1,1,1,1,9,9,9,0,0,9,6,62,625,0,15,1,193783,385959,1,1,2023,9,1,1989,13,1,1,1,2600,0,0,8,1,6,62,625,0,15,1,,
2023000118,1,1,1,2600,372,384,,8080004,,,,,33,2023,9,3,35,4,1,1,0,3,2,8,3,0,1,1,5,4,1,1,1,1,9,9,9,0,0,9,6,62,625,0,15,1,193783,385959,2,2,2023,9,2,2016,6,1,10,2,2600,3,4,1,1,6,62,625,0,15,1,,
