ZOMET_IRONI,SEMEL_YISHUV,total_rows,total_accidents,fatal_accidents,severe_accidents,light_accidents,PK_TEUNA_FIKT,risk_score
26490545,3000,26,10,0,2,24,"2023003643, 2023042750, 2023056152, 2023062828, 2023068063, 2023071221, 2023076289, 2023079269, 2023089177, 2023095678",32
28040411,3000,23,8,0,3,20,"2023000395, 2023015664, 2023027542, 2023032706, 2023050996, 2023051409, 2023065871, 2023070230",30
7860004,6500,21,7,0,5,16,"2023013766, 2023014185, 2023022786, 2023023373, 2023071584, 2023071811, 2023076420",30
7920011,70,22,7,0,0,22,"2023002252, 2023002674, 2023046094, 2023076380, 2023087295, 2023090725, 2023094769",26
8000033,6200,15,7,0,6,9,"2023034529, 2023034971, 2023051126, 2023051623, 2023053069, 2023067985, 2023095609",23
67630011,6100,21,7,0,2,19,"2023011809, 2023021808, 2023045692, 2023057995, 2023067544, 2023076235, 2023091539",27
60007,6500,13,6,0,2,11,"2023024184, 2023034514, 2023035414, 2023055823, 2023089739, 2023097626",17
8670001,70,19,6,0,8,11,"2023005243, 2023052504, 2023057953, 2023066056, 2023095853, 2023098318",31
9130033,7400,15,6,0,0,15,"2023014252, 2023033954, 2023062677, 2023062716, 2023071769, 2023087394",17
9930002,7100,18,6,0,0,18,"2023006775, 2023028317, 2023053093, 2023063819, 2023079326, 2023098458",22
9970053,7400,15,6,0,0,15,"2023017022, 2023052800, 2023072421, 2023073466, 2023092910, 2023095806",17
10050111,8600,13,6,0,8,5,"2023020865, 2023051182, 2023054197, 2023064893, 2023067771, 2023093606",21
10590092,7400,12,6,0,0,12,"2023014591, 2023034335, 2023045547, 2023051149, 2023056772, 2023086997",14
11340041,9000,18,6,0,10,8,"2023011630, 2023056822, 2023066035, 2023085569, 2023098484, 2023099268",32
11770121,7900,14,6,0,2,12,"2023022443, 2023022892, 2023031152, 2023052581, 2023070218, 2023081473",18
13220012,6800,16,6,0,0,16,"2023020008, 2023041650, 2023055762, 2023059806, 2023075031, 2023097951",20
92871279,3000,14,6,0,3,11,"2023029464, 2023034142, 2023034598, 2023041155, 2023074646, 2023095520",19
50001,9600,11,5,0,2,9,"2023034301, 2023038971, 2023079880, 2023087958, 2023090617",15
110522,3000,11,5,0,2,9,"2023062528, 2023072752, 2023077739, 2023079428, 2023093898",15
510533,3000,12,5,0,2,10,"2023018474, 2023034455, 2023035015, 2023040683, 2023047398",16
7730223,4000,11,5,0,5,6,"2023004461, 2023027887, 2023051271, 2023078085, 2023098390",18
8920433,5000,12,5,0,0,12,"2023035673, 2023044079, 2023054900, 2023056231, 2023088854",14
9020052,70,11,5,0,0,11,"2023004781, 2023052424, 2023058354, 2023070987, 2023095923",13
9400021,9000,15,5,0,0,15,"2023008388, 2023045988, 2023081772, 2023082423, 2023089997",17
10050006,8700,13,5,0,0,13,"2023023330, 2023024654, 2023057885, 2023062384, 2023083459",15
10140055,6600,10,5,0,2,8,"2023011321, 2023035178, 2023040300, 2023061645, 2023067401",14
11400522,9000,13,5,0,7,6,"2023015859, 2023028558, 2023045927, 2023053072, 2023055246",22
11670122,4000,15,5,0,8,7,"2023002716, 2023026275, 2023059267, 2023074882, 2023076554",25
11770521,3000,10,5,0,0,10,"2023003813, 2023010854, 2023026679, 2023030467, 2023063091",12
12240121,4000,14,5,0,0,14,"2023010786, 2023030894, 2023039240, 2023055585, 2023063223",16
12350008,9600,15,5,0,0,15,"2023045211, 2023055210, 2023071522, 2023073866, 2023096927",17
12950556,5000,13,5,2,0,11,"2023036175, 2023046610, 2023061944, 2023068001, 2023098162",19
15680110,9600,13,5,0,0,13,"2023002923, 2023032635, 2023063873, 2023071984, 2023095020",15
15760734,5000,10,5,0,0,10,"2023017192, 2023047006, 2023087316, 2023088345, 2023089291",12
17100011,7900,12,5,0,0,12,"2023004925, 2023006577, 2023017698, 2023057783, 2023094449",14
20420735,5000,11,5,0,3,8,"2023000877, 2023004850, 2023009211, 2023077558, 2023082988",16
20700111,5000,11,5,0,5,6,"2023001758, 2023018795, 2023039773, 2023043374, 2023049035",18
25610543,3000,12,5,0,0,12,"2023002845, 2023036065, 2023085630, 2023091931, 2023093814",14
10528,4000,8,4,0,0,8,"2023040399, 2023042679, 2023058386, 2023072908",10
600006,9100,11,4,0,0,11,"2023015805, 2023047207, 2023068027, 2023095249",13
7860001,9600,8,4,2,2,4,"2023022421, 2023076588, 2023082108, 2023084082",14
7880004,7600,10,4,4,2,4,"2023010080, 2023018021, 2023066387, 2023088186",20
7910013,70,12,4,0,0,12,"2023029626, 2023038156, 2023070142, 2023094351",14
7910041,9000,10,4,2,0,8,"2023004387, 2023034371, 2023078419, 2023082039",16
8090006,6700,11,4,0,4,7,"2023007944, 2023013319, 2023024670, 2023099731",17
8230008,7100,9,4,0,0,9,"2023013113, 2023071808, 2023087384, 2023095607",11
8610011,70,8,4,0,4,4,"2023004327, 2023004955, 2023005166, 2023022896",12
8640022,9000,10,4,0,0,10,"2023011785, 2023026256, 2023053005, 2023066508",12
8640112,3000,9,4,0,0,9,"2023016382, 2023035251, 2023066777, 2023094059",11
8900001,70,9,4,0,0,9,"2023031392, 2023063867, 2023079052, 2023092465",11
9980413,5000,10,4,0,0,10,"2023028075, 2023073795, 2023094790, 2023095057",12
10090313,7400,8,4,0,2,6,"2023009150, 2023043069, 2023091461, 2023095080",12
10800341,7100,9,4,0,0,9,"2023022817, 2023024796, 2023024988, 2023037363",11
10800344,7100,8,4,0,0,8,"2023029414, 2023046159, 2023070419, 2023095208",10
12670532,3000,12,4,0,0,12,"2023038648, 2023072691, 2023089319, 2023091870",14
12970556,5000,8,4,0,2,6,"2023018434, 2023047764, 2023048699, 2023096260",12
14900823,5000,10,4,2,0,8,"2023022130, 2023057509, 2023060090, 2023076403",16
15140002,2500,11,4,0,0,11,"2023023116, 2023050557, 2023065712, 2023082083",13
16170164,3000,9,4,0,0,9,"2023012131, 2023023252, 2023038100, 2023060841",11
16460323,4000,12,4,0,2,10,"2023011082, 2023030422, 2023045291, 2023082787",16
23760725,3000,8,4,0,2,6,"2023002552, 2023034550, 2023047380, 2023084254",12
23880254,3000,8,4,0,2,6,"2023007595, 2023028413, 2023060978, 2023080944",12
