ZOMET_IRONI,SEMEL_YISHUV,total_rows,total_accidents,fatal_accidents,severe_accidents,light_accidents,PK_TEUNA_FIKT,risk_score,CITY_NAME_EN
26490545,3000,26,10,0,2,24,"2023003643, 2023042750, 2023056152, 2023062828, 2023068063, 2023071221, 2023076289, 2023079269, 2023089177, 2023095678",32,JERUSALEM
28040411,3000,23,8,0,3,20,"2023000395, 2023015664, 2023027542, 2023032706, 2023050996, 2023051409, 2023065871, 2023070230",30,JERUSALEM
7860004,6500,21,7,0,5,16,"2023013766, 2023014185, 2023022786, 2023023373, 2023071584, 2023071811, 2023076420",30,HADERA
7920011,70,22,7,0,0,22,"2023002252, 2023002674, 2023046094, 2023076380, 2023087295, 2023090725, 2023094769",26,ASHDOD
8000033,6200,15,7,0,6,9,"2023034529, 2023034971, 2023051126, 2023051623, 2023053069, 2023067985, 2023095609",23,BAT YAM
67630011,6100,21,7,0,2,19,"2023011809, 2023021808, 2023045692, 2023057995, 2023067544, 2023076235, 2023091539",27,BENE BERAQ
60007,6500,13,6,0,2,11,"2023024184, 2023034514, 2023035414, 2023055823, 2023089739, 2023097626",17,HADERA
8670001,70,19,6,0,8,11,"2023005243, 2023052504, 2023057953, 2023066056, 2023095853, 2023098318",31,ASHDOD
9130033,7400,15,6,0,0,15,"2023014252, 2023033954, 2023062677, 2023062716, 2023071769, 2023087394",17,NETANYA
9930002,7100,18,6,0,0,18,"2023006775, 2023028317, 2023053093, 2023063819, 2023079326, 2023098458",22,ASHQELON
9970053,7400,15,6,0,0,15,"2023017022, 2023052800, 2023072421, 2023073466, 2023092910, 2023095806",17,NETANYA
10050111,8600,13,6,0,8,5,"2023020865, 2023051182, 2023054197, 2023064893, 2023067771, 2023093606",21,RAMAT GAN
10590092,7400,12,6,0,0,12,"2023014591, 2023034335, 2023045547, 2023051149, 2023056772, 2023086997",14,NETANYA
11340041,9000,18,6,0,10,8,"2023011630, 2023056822, 2023066035, 2023085569, 2023098484, 2023099268",32,BE'ER SHEVA
11770121,7900,14,6,0,2,12,"2023022443, 2023022892, 2023031152, 2023052581, 2023070218, 2023081473",18,PETAH TIQWA
13220012,6800,16,6,0,0,16,"2023020008, 2023041650, 2023055762, 2023059806, 2023075031, 2023097951",20,QIRYAT ATTA
92871279,3000,14,6,0,3,11,"2023029464, 2023034142, 2023034598, 2023041155, 2023074646, 2023095520",19,JERUSALEM
50001,9600,11,5,0,2,9,"2023034301, 2023038971, 2023079880, 2023087958, 2023090617",15,QIRYAT YAM
110522,3000,11,5,0,2,9,"2023062528, 2023072752, 2023077739, 2023079428, 2023093898",15,JERUSALEM
510533,3000,12,5,0,2,10,"2023018474, 2023034455, 2023035015, 2023040683, 2023047398",16,JERUSALEM
7730223,4000,11,5,0,5,6,"2023004461, 2023027887, 2023051271, 2023078085, 2023098390",18,HAIFA
8920433,5000,12,5,0,0,12,"2023035673, 2023044079, 2023054900, 2023056231, 2023088854",14,TEL AVIV - YAFO
9020052,70,11,5,0,0,11,"2023004781, 2023052424, 2023058354, 2023070987, 2023095923",13,ASHDOD
9400021,9000,15,5,0,0,15,"2023008388, 2023045988, 2023081772, 2023082423, 2023089997",17,BE'ER SHEVA
10050006,8700,13,5,0,0,13,"2023023330, 2023024654, 2023057885, 2023062384, 2023083459",15,RA'ANANA
10140055,6600,10,5,0,2,8,"2023011321, 2023035178, 2023040300, 2023061645, 2023067401",14,HOLON
11400522,9000,13,5,0,7,6,"2023015859, 2023028558, 2023045927, 2023053072, 2023055246",22,BE'ER SHEVA
11670122,4000,15,5,0,8,7,"2023002716, 2023026275, 2023059267, 2023074882, 2023076554",25,HAIFA
11770521,3000,10,5,0,0,10,"2023003813, 2023010854, 2023026679, 2023030467, 2023063091",12,JERUSALEM
