zomet,ishuv,rehov1,rehov2,x,y
2,432,101,112,209319,761626
2,542,196,376,229606,736199
2,628,274,310,203257,701022
2,1313,105,110,251612,737095
2,6000,207,244,203340,703389
3,351,139,142,165256,627973
3,6000,255,299,203559,702261
4,233,106,109,190554,694588
4,542,212,214,,
4,1345,102,104,200150,683195
11,634,136,172,197935,669615
12,3611,107,110,211329,603985
13,3611,106,110,211273,604140
15,2720,110,121,195944,682125
19,8800,821,324,,
20,8800,344,625,216371,745501
36,3797,218,230,,
42,3650,149,150,215582,619563
51,3574,151,158,221153,649877
10001,70,273,501,168327,635376
10001,70,165,501,168327,635376
10001,70,165,273,168327,635376
10001,182,108,6512,189741,687196
10001,182,114,6512,189741,687196
10001,182,108,114,189741,687196
10001,229,116,120,188064,663169
10001,1309,103,105,195511,662063
10001,1309,103,114,195511,662063
10001,1309,105,114,195511,662063
10001,2660,158,209,175211,642520
10003,1034,103,139,176027,626367
10010,3780,105,108,211310,622521
10011,1247,303,330,205042,707311
10014,1247,103,110,204318,707382
10015,1247,303,304,204766,707421
10022,7900,909,911,188616,666379
10022,7900,905,911,188616,666379
10022,7900,905,909,188616,666379
10052,6600,707,715,178124,658883
10054,6600,720,732,178372,658251
10064,3780,218,219,210297,622865
10123,8600,701,716,182658,665557
10176,3000,303,313,220491,633391
10433,5000,1033,1034,179695,665196
10516,4000,922,958,200138,745228
10516,4000,909,958,200138,745228
10516,4000,909,922,200138,745228
10528,4000,311,856,200530,745721
10624,5000,1521,1554,179950,663568
10815,5000,2227,2253,178986,663044
10827,5000,2377,2460,178506,662130
20001,249,101,102,192825,664791
20001,2600,109,123,195289,385627
20001,3616,132,141,228906,631405
20001,4100,120,139,264575,766840
20003,3730,101,104,215963,641231
20003,3730,101,204,215963,641231
20003,3730,104,204,215963,641231
20003,6900,309,316,192630,676683
20031,7900,1217,1229,188435,665434
20032,6200,218,308,176183,658181
20041,7900,214,230,189195,665891
20052,65,126,137,246516,749674
20223,4000,348,399,199638,747683
20227,5000,360,365,184990,668452
20557,5000,1103,2215,178427,663387
20814,5000,1235,2233,178597,662736
20912,5000,2524,2527,180692,664202
30001,154,115,211,192525,684108
30002,2560,202,206,220024,574110
30004,1034,103,104,175427,626590
30004,1034,103,148,175427,626590
30004,1034,104,148,175427,626590
30005,6800,334,337,210011,746430
30008,70,207,223,167986,634725
30021,6200,220,237,176203,659399
30021,6200,220,223,176203,659399
30021,6200,223,237,176203,659399
30023,6200,102,215,175777,659141
30041,6100,850,6003,185131,665144
30041,7900,224,230,189246,665894
30053,7400,933,943,186520,688086
30053,7400,943,993,186520,688086
30053,7400,933,993,186520,688086
30054,7900,622,623,190502,665284
30111,4000,110,239,205511,748542
30131,4000,210,242,205428,747125
30131,4000,210,367,205428,747125
30131,4000,242,367,205428,747125
30223,4000,348,358,199863,747520
30532,3000,1714,1832,221501,630506
30532,3000,1714,1868,221501,630506
30532,3000,1832,1868,221501,630506
30554,5000,1103,1264,179139,663791
30713,3000,3001,3002,222419,638383
30816,5000,2236,2239,179364,663195
30816,5000,2236,2240,179364,663195
30816,5000,2239,2240,179364,663195
40001,154,115,117,192722,684852
